station_id,station_name
3194,"McGinley Square"
3183,"Exchange Place"
3186,"Grove St PATH"
3270,"Jersey & 6th St"
3212,"Christ Hospital"
3203,"Hamilton Park"
3195,"Sip Ave"
3196,"Riverview Park"
3267,"Morris Canal"
3279,"Dixon Mills"
3272,"Jersey & 3rd"
3213,"Van Vorst Park"
3187,"Warren St"
3192,"Liberty Light Rail"
3190,"Garfield Ave Station"
3276,"Marin Light Rail"
3273,"Manila & 1st"
3210,"Pershing Field"
3205,"JC Medical Center"
3202,"Newport PATH"
3191,"Union St"
3225,"Baldwin at Montgomery"
3275,"Columbus Drive"
3220,"5 Corners Library"
3211,"Newark Ave"
3209,"Brunswick St"
3185,"City Hall"
3201,"Dey St"
3189,"West Side Light Rail"
3214,"Essex Light Rail"
3271,"Danforth Light Rail"
3206,Hilltop
3278,"Monmouth and 6th"
3269,"Brunswick & 6th"
3277,"Communipaw & Berry Lane"
3199,"Newport Pkwy"
3193,"Lincoln Park"
3207,"Oakland Ave"
3197,"North St"
3215,"Central Ave"
3184,"Paulus Hook"
3280,"Astor Place"
3268,"Lafayette Park"
3188,NJCU
3198,"Heights Elevator"
3216,"Columbia Park"
3281,"Leonard Gordon Park"
3200,"MLK Light Rail"
3217,"Bayside Park"
3274,"Bethune Center"
2021,"W 45 St & 8 Ave"
152,"Warren St & Church St"
297,"E 15 St & 3 Ave"
3426,"JCBS Depot"
3442,Indiana
267,"Broadway & W 36 St"
